list,item,trial,sound_file,sentence,referents,ambiguity,type_of_trial,target,target_plaform,goal,incorrect_goal,comp_platform,competitor,Location_Target,Location_Goal,Location_Incorrect_Goal,Location_Competitor,1_image_platform_target,2_image_platform_correct_goal,3_image_platform_incorrect_goal,4_image_paltform_competitor,5_image_target,6_image_competitor,upper_left_matrix_1,upper_right_matrix_2,lower_left_matrix_3,lower_right_matrix_4,correct_final_answer_combination_images,correct_final_answer_path_touching_matrix
6,2.1,1,Exp_2.1_2U.wav,put the frog that's on the balloon onto the box,2,U,experimental,frog,balloon,box,balloon,napkin,frog,Upper Right,Upper Left,Lower Left,Lower Right,balloon,box,balloon,napkin,frog,frog,2,1.5,3,4.6,2.5,2.1
6,12.1,2,Exp_12.1_1A.wav,put the cow on the napkin onto the balloon,1,A,experimental,cow,napkin,balloon,napkin,box,lion,Upper Left,Upper Right,Lower Left,Lower Right,napkin,balloon,napkin,box,cow,lion,1.5,2,3,4.6,2.5,1.2
6,4.1,3,Exp_4.1_1U.wav,put the pig that's on the towel onto the book,1,U,experimental,pig,towel,book,towel,leaf,dog,Upper Left,Lower Right,Upper Right,Lower Left,towel,book,towel,leaf,pig,dog,1.5,3,4.6,2,2.5,1.4
6,20.1,4,Filler_20.1.wav,make the lions tickle each other,2,F,filler,lion,leaf,balloon,leaf,box,lion,Lower Right,Upper Right,Upper Left,Lower Left,leaf,balloon,leaf,box,lion,lion,3,2,4.6,1.5,5.6,4.2
6,10.1,5,Exp_10.1_2A.wav,put the elephant on the pan onto the book,2,A,experimental,elephant,pan,book,pan,balloon,elephant,Lower Left,Lower Right,Upper Left,Upper Right,pan,book,pan,balloon,elephant,elephant,3,4.6,1.5,2,2.5,3.4
6,11.1,6,Exp_11.1_2A.wav,put the pig on the box onto the towel,2,A,experimental,pig,box,towel,box,leaf,pig,Upper Right,Lower Left,Lower Right,Upper Left,box,towel,box,leaf,pig,pig,4.6,1.5,2,3,2.5,2.3
6,7.1,7,Exp_7.1_1U.wav,put the elephant that's on the book onto the leaf,1,U,experimental,elephant,book,leaf,book,pan,pig,Upper Right,Lower Left,Lower Right,Upper Left,book,leaf,book,pan,elephant,pig,4.6,1.5,3,2,2.5,2.4
6,17.1,8,Filler_17.1.wav,place both of the horses on top of the box,2,F,filler,horse,circle,box,circle,napkin,horse,Upper Right,Upper Left,Lower Left,Lower Right,circle,box,circle,napkin,horse,horse,2,1.5,3,4.6,"2,6,5","4,2,1"
6,6.1,9,Exp_6.1_1U.wav,put the dog that's on the pan onto the towel,1,U,experimental,dog,pan,towel,pan,balloon,horse,Lower Left,Lower Right,Upper Left,Upper Right,pan,towel,pan,balloon,dog,horse,3,4.6,1.5,2,2.5,3.4
6,13.1,10,Exp_13.1_2A.wav,put the horse on the towel onto the leaf,2,A,experimental,horse,towel,leaf,towel,pan,horse,Upper Left,Lower Right,Upper Right,Lower Left,towel,leaf,towel,pan,horse,horse,1.5,3,4.6,2,2.5,1.4
6,5.1,11,Exp_5.1_2U.wav,put the bear that's on the leaf onto the balloon,2,U,experimental,bear,leaf,balloon,leaf,box,bear,Lower Right,Upper Left,Upper Right,Lower Left,leaf,balloon,leaf,box,bear,bear,2,3,4.6,1.5,2.5,4.1
6,3.1,12,Exp_3.1_2U.wav,put the cow that's on the circle onto the napkin,2,U,experimental,cow,circle,napkin,circle,book,cow,Lower Left,Upper Right,Lower Right,Upper Left,circle,napkin,circle,book,cow,cow,4.6,2,1.5,3,2.5,3.2
6,14.1,13,Exp_14.1_1A.wav,put the bear on the balloon onto the napkin,1,A,experimental,bear,balloon,napkin,balloon,towel,cow,Upper Right,Upper Left,Lower Left,Lower Right,balloon,napkin,balloon,towel,bear,cow,2,1.5,3,4.6,2.5,2.1
6,18.1,14,Filler_18.1.wav,wiggle the frog,1,F,filler,frog,pan,book,pan,balloon,cow,Lower Left,Lower Right,Upper Right,Upper Left,pan,book,pan,balloon,frog,cow,4.6,3,1.5,2,1.5,3.4
6,1.1,15,Exp_1.1_1U.wav,put the horse that's on the box onto the pan,1,U,experimental,horse,box,pan,box,circle,elephant,Lower Right,Lower Left,Upper Left,Upper Right,box,pan,box,circle,horse,elephant,3,4.6,2,1.5,2.5,4.3
6,9.1,16,Exp_9.1_1A.wav,put the frog on the leaf onto the circle,1,A,experimental,frog,leaf,circle,leaf,book,bear,Lower Right,Upper Left,Upper Right,Lower Left,leaf,circle,leaf,book,frog,bear,2,3,4.6,1.5,2.5,4.1
6,8.1,17,Exp_8.1_2U.wav,put the lion that's on the napkin onto the circle,2,U,experimental,lion,napkin,circle,napkin,towel,lion,Upper Left,Upper Right,Lower Left,Lower Right,napkin,circle,napkin,towel,lion,lion,1.5,2,3,4.6,2.5,1.2
6,16.1,18,Exp_16.1_2A.wav,put the dog on the book onto the pan,2,A,experimental,dog,book,pan,book,circle,dog,Lower Right,Lower Left,Upper Left,Upper Right,book,pan,book,circle,dog,dog,3,4.6,2,1.5,2.5,4.3
6,19.1,19,Filler_19.1.wav,put the dog on the napkin,1,F,filler,dog,towel,napkin,towel,book,bear,Upper Left,Lower Left,Lower Right,Upper Right,towel,napkin,towel,book,dog,bear,1.5,4.6,2,3,2.5,1.3
6,15.1,20,Exp_15.1_1A.wav,put the lion on the circle onto the box,1,A,experimental,lion,circle,box,circle,napkin,frog,Lower Left,Upper Right,Lower Right,Upper Left,circle,box,circle,napkin,lion,frog,4.6,2,1.5,3,2.5,3.2
